Codigo,Categoria,Prompt
Prompt 066,Promociones y bonos,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diseñar una campaña de recuperación de clientas dormidas. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 067,Promociones y bonos,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una promoción para Google Reviews sin comprar reseñas. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 068,Promociones y bonos,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito hacer una campaña de fin de mes para cerrar agenda. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 069,Promociones y bonos,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una escalera de ofertas básica, premium y VIP. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 070,Promociones y bonos,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear textos para vender paquetes sin parecer desesperada. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 071,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito responder una reseña positiva de forma personalizada. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 072,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito responder una reseña negativa con profesionalidad. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 073,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un protocolo para pedir reseñas después de cada visita. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 074,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito optimizar la descripción de Google Business Profile. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 075,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear respuestas para preguntas frecuentes en Google. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 076,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito convertir reseñas en publicaciones para redes sociales. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 077,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diseñar un mensaje para recuperar una mala experiencia. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 078,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un checklist semanal de reputación online. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 079,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito redactar un texto para solicitar reseña por WhatsApp. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 080,"Reseñas, reputación y Google","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una estrategia para subir reseñas locales en 30 días. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 081,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una tabla CRM simple para clientas de estética. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 082,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito segmentar clientas nuevas, recurrentes, dormidas y VIP. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 083,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito definir métricas semanales de agenda llena. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 084,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un reporte semanal de leads, reservas y ventas. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 085,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diseñar una rutina diaria de 15 minutos para seguimiento. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 086,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear campos para registrar tratamiento, fecha y próxima acción. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 087,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito hacer un sistema para detectar clientas que deberían volver. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 088,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una campaña según último tratamiento realizado. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 089,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una plantilla de seguimiento de no-shows. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 090,"Reservas, CRM y métricas","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diseñar un tablero de KPIs para el centro. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
